task,method_a,method_b,mean_delta_a_minus_b,std_delta,wins_a,wins_b,ties,runs
playground-series-s3e1,Bayesian Optimization,CrossDataset-HyperRL,-0.006082365052959204,0.004572791945621376,4,1,0,5
playground-series-s3e1,Bayesian Optimization,CrossDataset-LC-DQN,-0.004234975008838138,0.0030614719539087446,5,0,0,5
playground-series-s3e1,Bayesian Optimization,Random Search,-0.003602975326505886,0.0021963748542354108,4,0,1,5
playground-series-s3e1,CrossDataset-HyperRL,CrossDataset-LC-DQN,0.0018473900441210666,0.003054385498727816,1,2,2,5
playground-series-s3e1,CrossDataset-HyperRL,Random Search,0.0024793897264533183,0.003833709173428571,2,3,0,5
playground-series-s3e1,CrossDataset-LC-DQN,Random Search,0.0006319996823322515,0.002581003590869182,1,4,0,5
playground-series-s3e11,Bayesian Optimization,CrossDataset-HyperRL,-0.028150233636780087,0.04269019988486879,4,1,0,5
playground-series-s3e11,Bayesian Optimization,CrossDataset-LC-DQN,-0.020578845627130703,0.041960905612540705,4,1,0,5
playground-series-s3e11,Bayesian Optimization,Random Search,-0.030706977679061255,0.051926656950507036,3,0,2,5
playground-series-s3e11,CrossDataset-HyperRL,CrossDataset-LC-DQN,0.007571388009649382,0.012944230319112146,0,3,2,5
playground-series-s3e11,CrossDataset-HyperRL,Random Search,-0.002556744042281167,0.0594181204135834,2,3,0,5
playground-series-s3e11,CrossDataset-LC-DQN,Random Search,-0.01012813205193055,0.058445066470767915,3,2,0,5
playground-series-s3e14,Bayesian Optimization,CrossDataset-HyperRL,1.4267499918779776,1.2021620716549564,0,5,0,5
playground-series-s3e14,Bayesian Optimization,CrossDataset-LC-DQN,1.8129232627505416,1.5147374229806838,0,4,1,5
playground-series-s3e14,Bayesian Optimization,Random Search,-0.20710050545030753,2.6445726475915685,2,3,0,5
playground-series-s3e14,CrossDataset-HyperRL,CrossDataset-LC-DQN,0.386173270872564,0.9059392638466514,1,2,2,5
playground-series-s3e14,CrossDataset-HyperRL,Random Search,-1.6338504973282852,2.256235470922279,3,0,2,5
playground-series-s3e14,CrossDataset-LC-DQN,Random Search,-2.0200237682008493,2.2109315201106927,4,1,0,5
playground-series-s3e16,Bayesian Optimization,CrossDataset-HyperRL,-0.0030156943907013734,0.004680177440307021,4,1,0,5
playground-series-s3e16,Bayesian Optimization,CrossDataset-LC-DQN,-0.0012832184943218472,0.005247442376250787,3,2,0,5
playground-series-s3e16,Bayesian Optimization,Random Search,-0.002941349463295584,0.0051352438367351354,4,1,0,5
playground-series-s3e16,CrossDataset-HyperRL,CrossDataset-LC-DQN,0.0017324758963795262,0.0037742924393818003,2,2,1,5
playground-series-s3e16,CrossDataset-HyperRL,Random Search,7.434492740578946e-05,0.008270049959334693,2,3,0,5
playground-series-s3e16,CrossDataset-LC-DQN,Random Search,-0.0016581309689737366,0.006084632095099397,2,3,0,5
playground-series-s3e25,Bayesian Optimization,CrossDataset-HyperRL,0.0015868550592560648,0.002887825760632448,1,2,2,5
playground-series-s3e25,Bayesian Optimization,CrossDataset-LC-DQN,-0.0008619341776074485,0.004154809006759902,3,2,0,5
playground-series-s3e25,Bayesian Optimization,Random Search,-0.0003148236998051335,0.005251107226324616,3,2,0,5
playground-series-s3e25,CrossDataset-HyperRL,CrossDataset-LC-DQN,-0.0024487892368635134,0.004265585607813695,3,2,0,5
playground-series-s3e25,CrossDataset-HyperRL,Random Search,-0.0019016787590611984,0.00408547961995992,2,2,1,5
playground-series-s3e25,CrossDataset-LC-DQN,Random Search,0.000547110477802315,0.00523025376689249,2,2,1,5
playground-series-s3e6,Bayesian Optimization,CrossDataset-HyperRL,-7760.466969799961,22404.442223951573,2,1,2,5
playground-series-s3e6,Bayesian Optimization,CrossDataset-LC-DQN,-3435.668093269001,15304.617932889121,2,1,2,5
playground-series-s3e6,Bayesian Optimization,Random Search,-8574.776382423524,8890.79360690358,4,1,0,5
playground-series-s3e6,CrossDataset-HyperRL,CrossDataset-LC-DQN,4324.798876530959,9958.32725077989,1,2,2,5
playground-series-s3e6,CrossDataset-HyperRL,Random Search,-814.3094126235635,19194.236584106922,3,2,0,5
playground-series-s3e6,CrossDataset-LC-DQN,Random Search,-5139.108289154523,11732.565193705927,4,1,0,5
playground-series-s3e8,Bayesian Optimization,CrossDataset-HyperRL,-23.29451620658849,33.85977744340561,4,1,0,5
