task,method,runs,best_val_score_mean,best_val_score_std,best_test_score_mean,best_test_score_std,simple_regret_mean,simple_regret_std,normalized_simple_regret_mean,normalized_simple_regret_std,best_iteration_mean
playground-series-s3e1,Bayesian Optimization,5,0.6608546971859126,0.0023978837817629794,0.6605580844718497,0.0037542679651692275,2.506896719589591e-06,5.605591477573554e-06,0.006914116581311623,0.009527361673091334,11.8
playground-series-s3e1,CrossDataset-HyperRL,5,0.6669370622388717,0.0059962003933327675,0.6663828314514777,0.007405792287764588,0.006084871949678794,0.004568616791925045,0.031080797272028133,0.02382432803712113,6.8
playground-series-s3e1,CrossDataset-LC-DQN,5,0.6650896721947507,0.0033933874216542422,0.6616335431645495,0.004450755296170106,0.004237481905557727,0.0030578913243090307,0.02374067794036099,0.013482734029440354,11.2
playground-series-s3e1,Random Search,5,0.6644576725124185,0.0037012904855101805,0.6619010924056545,0.004334673272889699,0.0036054822232254756,0.002191235543114087,0.021229593126053933,0.014706106017657266,11.8
playground-series-s3e11,Bayesian Optimization,5,29.73377919774827,0.019425510035116222,29.758111265125116,0.01721230426410843,0.008726472512770301,0.019512985742337792,0.008917286668000499,0.009902661512950875,8.2
playground-series-s3e11,CrossDataset-HyperRL,5,29.76192943138505,0.02908296843713344,29.780646296494016,0.030038817790836055,0.03687670614955039,0.025242576080710857,0.023267604096556472,0.01482580337423008,11.4
playground-series-s3e11,CrossDataset-LC-DQN,5,29.754358043375397,0.025014976160397676,29.772500756193505,0.020434223603915756,0.029305318139901004,0.027214533877678016,0.01940789114656267,0.012752037975999102,13.0
playground-series-s3e11,Random Search,5,29.76448617542733,0.04518469732953448,29.780612040049068,0.03668097496067512,0.03943345019183155,0.04906348258093662,0.024570971204045278,0.023034080567802095,7.6
playground-series-s3e14,Bayesian Optimization,5,614.978249169286,0.6344869928362301,542.646965537348,2.425098601773052,1.9567080423647212,1.32140941624526,0.021361783920877904,0.003537640396204543,8.6
playground-series-s3e14,CrossDataset-HyperRL,5,613.5514991774079,1.4765549997336123,539.5589277017266,2.041037966728787,0.5299580504867436,0.7258483876130951,0.01340680854149322,0.008232667766640377,8.0
playground-series-s3e14,CrossDataset-LC-DQN,5,613.1653259065354,1.7365709723711173,541.2887650309015,3.523656107335526,0.14378477961417957,0.3215125413471315,0.011253664066668907,0.009682410659475813,10.2
playground-series-s3e14,Random Search,5,615.1853496747362,2.8761192994295497,542.8557893538846,4.366393295310749,2.163808547815029,2.0017594846630136,0.02251649177529801,0.01603606682697073,7.4
playground-series-s3e16,Bayesian Optimization,5,2.0423965212590196,0.0031556840779379284,2.07131908889814,0.0025055837217291908,0.001767010803954605,0.002476386092472781,0.019319909676370595,0.01085512081755531,9.4
playground-series-s3e16,CrossDataset-HyperRL,5,2.045412215649721,0.002257026086025847,2.076362058264388,0.007183382909266378,0.004782705194655979,0.004516927228186084,0.029693485152049486,0.007763860464826437,14.0
