task,method_a,method_b,mean_delta_a_minus_b,std_delta,wins_a,wins_b,ties,runs
playground-series-s3e1,Bayesian Optimization,CrossDataset-HyperRL,-0.0007454987426033898,0.003249636793791333,2,3,0,5
playground-series-s3e1,Bayesian Optimization,CrossDataset-LC-DQN,-0.0002510753483763839,0.004809050746498407,3,1,1,5
playground-series-s3e1,Bayesian Optimization,Random Search,-0.00525420758939874,0.003126951764527005,4,0,1,5
playground-series-s3e1,CrossDataset-HyperRL,CrossDataset-LC-DQN,0.000494423394227006,0.00496253305667138,3,2,0,5
playground-series-s3e1,CrossDataset-HyperRL,Random Search,-0.004508708846795351,0.0030733427091778373,5,0,0,5
playground-series-s3e1,CrossDataset-LC-DQN,Random Search,-0.005003132241022357,0.002042857528579282,5,0,0,5
playground-series-s3e11,Bayesian Optimization,CrossDataset-HyperRL,-0.011557624952612856,0.04308644131843073,3,2,0,5
playground-series-s3e11,Bayesian Optimization,CrossDataset-LC-DQN,-0.08522468246340509,0.09428240087339115,4,1,0,5
playground-series-s3e11,Bayesian Optimization,Random Search,-0.034956204204600994,0.03534264246485448,4,0,1,5
playground-series-s3e11,CrossDataset-HyperRL,CrossDataset-LC-DQN,-0.07366705751079224,0.06122941433938777,4,0,1,5
playground-series-s3e11,CrossDataset-HyperRL,Random Search,-0.023398579251988138,0.06414606642983803,3,2,0,5
playground-series-s3e11,CrossDataset-LC-DQN,Random Search,0.050268478258804095,0.1112319895549422,1,3,1,5
playground-series-s3e14,Bayesian Optimization,CrossDataset-HyperRL,0.773056609739001,2.2763331911269833,2,3,0,5
playground-series-s3e14,Bayesian Optimization,CrossDataset-LC-DQN,-0.3269743437425404,1.6817513517631593,2,3,0,5
playground-series-s3e14,Bayesian Optimization,Random Search,0.08658042550066511,1.904729390168924,2,3,0,5
playground-series-s3e14,CrossDataset-HyperRL,CrossDataset-LC-DQN,-1.1000309534815416,3.275200381114178,2,1,2,5
playground-series-s3e14,CrossDataset-HyperRL,Random Search,-0.6864761842383359,4.047250676967518,3,2,0,5
playground-series-s3e14,CrossDataset-LC-DQN,Random Search,0.41355476924320556,1.6537623931704004,1,4,0,5
playground-series-s3e16,Bayesian Optimization,CrossDataset-HyperRL,-0.004733711166437083,0.004586849196729865,5,0,0,5
playground-series-s3e16,Bayesian Optimization,CrossDataset-LC-DQN,0.0004070944544579902,0.005052627046358733,3,2,0,5
playground-series-s3e16,Bayesian Optimization,Random Search,-0.0010605632165829881,0.003052716472637464,2,2,1,5
playground-series-s3e16,CrossDataset-HyperRL,CrossDataset-LC-DQN,0.005140805620895072,0.006284384052811231,0,4,1,5
playground-series-s3e16,CrossDataset-HyperRL,Random Search,0.003673147949854094,0.006675726411896197,2,3,0,5
playground-series-s3e16,CrossDataset-LC-DQN,Random Search,-0.0014676576710409782,0.004266095367290698,4,1,0,5
playground-series-s3e25,Bayesian Optimization,CrossDataset-HyperRL,0.0014717847505288707,0.0032692605993051163,2,3,0,5
playground-series-s3e25,Bayesian Optimization,CrossDataset-LC-DQN,0.0010965275767486737,0.00612880398004008,2,2,1,5
playground-series-s3e25,Bayesian Optimization,Random Search,-0.00030738233941853823,0.005263536852363066,3,2,0,5
playground-series-s3e25,CrossDataset-HyperRL,CrossDataset-LC-DQN,-0.00037525717378019687,0.005738860433403859,2,1,2,5
playground-series-s3e25,CrossDataset-HyperRL,Random Search,-0.0017791670899474088,0.004355863638739493,3,2,0,5
playground-series-s3e25,CrossDataset-LC-DQN,Random Search,-0.001403909916167212,0.0034027767914277802,3,2,0,5
playground-series-s3e6,Bayesian Optimization,CrossDataset-HyperRL,-14963.511669773468,41283.24901522958,3,2,0,5
