task,method_a,method_b,mean_delta_a_minus_b,std_delta,wins_a,wins_b,ties,runs
lcbench_APSFailure,Bayesian Optimization,HyperRL-MLP,-0.12140045166015626,0.3117800522547649,3,2,0,5
lcbench_APSFailure,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.1475860595703125,0.40118134420184115,4,1,0,5
lcbench_APSFailure,Bayesian Optimization,Random Search,-0.08093414306640341,0.40162973062477875,3,2,0,5
lcbench_APSFailure,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.02618560791015625,0.3908787785288431,3,2,0,5
lcbench_APSFailure,HyperRL-MLP,Random Search,0.040466308593752845,0.09413005860573392,2,3,0,5
lcbench_APSFailure,OurMethod-LC-DQN-MLP,Random Search,0.06665191650390909,0.4510065234896377,2,3,0,5
lcbench_Australian,Bayesian Optimization,HyperRL-MLP,-0.26143798828124715,0.7452129235640923,2,1,2,5
lcbench_Australian,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.130718994140625,0.5468367855310063,1,2,2,5
lcbench_Australian,Bayesian Optimization,Random Search,0.13071899414062785,0.7159774178520555,1,1,3,5
lcbench_Australian,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.39215698242187214,0.8768896705464961,0,1,4,5
lcbench_Australian,HyperRL-MLP,Random Search,0.392156982421875,1.3553233778815268,2,2,1,5
lcbench_Australian,OurMethod-LC-DQN-MLP,Random Search,2.842170943040401e-15,0.6535949707031214,2,2,1,5
lcbench_Fashion-MNIST,Bayesian Optimization,HyperRL-MLP,-0.6434951782226562,2.97394864607125,4,1,0,5
lcbench_Fashion-MNIST,Bayesian Optimization,OurMethod-LC-DQN-MLP,-1.3541824340820312,3.6101177913938702,4,1,0,5
lcbench_Fashion-MNIST,Bayesian Optimization,Random Search,-0.80372314453125,3.3863345948373635,4,1,0,5
lcbench_Fashion-MNIST,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.710687255859375,1.3697493500564317,2,0,3,5
lcbench_Fashion-MNIST,HyperRL-MLP,Random Search,-0.16022796630859376,2.0175212884991116,1,1,3,5
lcbench_Fashion-MNIST,OurMethod-LC-DQN-MLP,Random Search,0.5504592895507813,1.2857228854769718,1,1,3,5
lcbench_MiniBooNE,Bayesian Optimization,HyperRL-MLP,-1.107904052734375,1.9332162804578938,4,1,0,5
lcbench_MiniBooNE,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.5035293579101563,2.0943539048334294,3,2,0,5
lcbench_MiniBooNE,Bayesian Optimization,Random Search,-1.5286712646484375,2.4137059554255815,4,1,0,5
lcbench_MiniBooNE,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.6043746948242188,1.3852082084366384,1,2,2,5
lcbench_MiniBooNE,HyperRL-MLP,Random Search,-0.4207672119140625,1.0877893153055502,2,1,2,5
lcbench_MiniBooNE,OurMethod-LC-DQN-MLP,Random Search,-1.0251419067382812,2.247846921288316,2,1,2,5
lcbench_adult,Bayesian Optimization,HyperRL-MLP,0.24073944091796876,0.8327945286052103,2,3,0,5
lcbench_adult,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.37222137451171877,0.9255665238453821,2,3,0,5
lcbench_adult,Bayesian Optimization,Random Search,0.25370330810546876,0.743272204765107,1,3,1,5
lcbench_adult,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.13148193359375,0.41503864108092287,1,2,2,5
lcbench_adult,HyperRL-MLP,Random Search,0.0129638671875,0.26912541797431583,1,2,2,5
lcbench_adult,OurMethod-LC-DQN-MLP,Random Search,-0.11851806640625,0.6573243380770535,2,1,2,5
lcbench_bank-marketing,Bayesian Optimization,HyperRL-MLP,-0.86826171875,2.441914110608422,2,2,1,5
lcbench_bank-marketing,Bayesian Optimization,OurMethod-LC-DQN-MLP,-1.084326171875,2.921821965436354,2,2,1,5
lcbench_bank-marketing,Bayesian Optimization,Random Search,0.48214263916015626,2.1151830043882898,2,3,0,5
lcbench_bank-marketing,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.216064453125,0.48313480470881687,1,0,4,5
lcbench_bank-marketing,HyperRL-MLP,Random Search,1.3504043579101563,1.6379137962064345,0,3,2,5
lcbench_bank-marketing,OurMethod-LC-DQN-MLP,Random Search,1.5664688110351563,1.9747328516411655,0,3,2,5
lcbench_credit-g,Bayesian Optimization,HyperRL-MLP,0.270269775390625,0.7537482912655376,1,3,1,5
lcbench_credit-g,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.45044708251953125,0.3185141866152569,0,4,1,5
lcbench_credit-g,Bayesian Optimization,Random Search,0.63062744140625,1.2977338002612155,1,4,0,5
lcbench_credit-g,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.18017730712890626,1.0370131911408451,2,2,1,5
lcbench_credit-g,HyperRL-MLP,Random Search,0.360357666015625,1.3286370654414912,2,1,2,5
lcbench_credit-g,OurMethod-LC-DQN-MLP,Random Search,0.18018035888671874,1.4456555201569927,1,2,2,5
