task,method,runs,best_val_score_mean,best_val_score_std,best_test_score_mean,best_test_score_std,simple_regret_mean,simple_regret_std,best_iteration_mean
lcbench_APSFailure,Bayesian Optimization,1,1.2794570922851562,0.0,1.2838915470494499,0.0,0.0,0.0,14.0
lcbench_APSFailure,CrossDataset-HyperRL,1,1.6305618286132812,0.0,1.6547049441786328,0.0,0.351104736328125,0.0,2.0
lcbench_APSFailure,CrossDataset-LC-DQN,1,2.0471343994140625,0.0,2.0773524720893164,0.0,0.7676773071289062,0.0,9.0
lcbench_APSFailure,Random Search,1,1.4639358520507812,0.0,1.6108452950558245,0.0,0.184478759765625,0.0,8.0
lcbench_Amazon_employee_access,Bayesian Optimization,1,5.920509338378906,0.0,5.788792306269656,0.0,0.0,0.0,5.0
lcbench_Amazon_employee_access,CrossDataset-HyperRL,1,5.920509338378906,0.0,5.788792306269656,0.0,0.0,0.0,3.0
lcbench_Amazon_employee_access,CrossDataset-LC-DQN,1,5.920509338378906,0.0,5.788792306269656,0.0,0.0,0.0,2.0
lcbench_Amazon_employee_access,Random Search,1,5.920509338378906,0.0,5.788792306269656,0.0,0.0,0.0,3.0
lcbench_Australian,Bayesian Optimization,1,9.150329589843764,0.0,16.29955947136564,0.0,0.0,0.0,2.0
lcbench_Australian,CrossDataset-HyperRL,1,9.150329589843764,0.0,16.29955947136564,0.0,0.0,0.0,11.0
lcbench_Australian,CrossDataset-LC-DQN,1,9.803924560546875,0.0,16.74008810572687,0.0,0.6535949707031108,0.0,4.0
lcbench_Australian,Random Search,1,9.150329589843764,0.0,16.29955947136564,0.0,0.0,0.0,2.0
lcbench_Fashion-MNIST,Bayesian Optimization,1,11.971832275390625,0.0,11.22510822510823,0.0,0.0,0.0,18.0
lcbench_Fashion-MNIST,CrossDataset-HyperRL,1,15.383125305175781,0.0,14.57142857142857,0.0,3.4112930297851562,0.0,2.0
lcbench_Fashion-MNIST,CrossDataset-LC-DQN,1,12.772964477539062,0.0,12.034632034632025,0.0,0.8011322021484375,0.0,11.0
lcbench_Fashion-MNIST,Random Search,1,13.296295166015625,0.0,12.532467532467535,0.0,1.324462890625,0.0,7.0
lcbench_KDDCup09_appetency,Bayesian Optimization,1,1.6733016967773438,0.0,1.7818181818181813,0.0,0.0,0.0,3.0
lcbench_KDDCup09_appetency,CrossDataset-HyperRL,1,1.6733016967773438,0.0,1.7818181818181813,0.0,0.0,0.0,6.0
lcbench_KDDCup09_appetency,CrossDataset-LC-DQN,1,1.6733016967773438,0.0,1.7818181818181813,0.0,0.0,0.0,2.0
lcbench_KDDCup09_appetency,Random Search,1,1.6733016967773438,0.0,1.7818181818181813,0.0,0.0,0.0,3.0
lcbench_MiniBooNE,Bayesian Optimization,1,10.734779357910156,0.0,10.97805321280461,0.0,0.0,0.0,18.0
lcbench_MiniBooNE,CrossDataset-HyperRL,1,13.631462097167969,0.0,13.939238618890087,0.0,2.8966827392578125,0.0,7.0
lcbench_MiniBooNE,CrossDataset-LC-DQN,1,12.334388732910156,0.0,12.63920600158427,0.0,1.599609375,0.0,11.0
lcbench_MiniBooNE,Random Search,1,12.657791137695312,0.0,12.87218675737384,0.0,1.9230117797851562,0.0,10.0
lcbench_adult,Bayesian Optimization,1,19.46295928955078,0.0,19.47012471303593,0.0,0.0,0.0,14.0
lcbench_adult,CrossDataset-HyperRL,1,20.083335876464844,0.0,20.01613203449773,0.0,0.6203765869140625,0.0,2.0
lcbench_adult,CrossDataset-LC-DQN,1,19.796295166015625,0.0,20.07817832102748,0.0,0.33333587646484375,0.0,11.0
lcbench_adult,Random Search,1,19.46295928955078,0.0,19.47632934168891,0.0,0.0,0.0,8.0
lcbench_airlines,Bayesian Optimization,1,38.00164413452148,0.0,38.185475036096115,0.0,0.0,0.0,14.0
lcbench_airlines,CrossDataset-HyperRL,1,40.82828903198242,0.0,40.82147451923347,0.0,2.8266448974609446,0.0,17.0
lcbench_airlines,CrossDataset-LC-DQN,1,40.51468276977539,0.0,40.57090849845784,0.0,2.5130386352539134,0.0,9.0
lcbench_airlines,Random Search,1,40.62704467773438,0.0,40.77765355595881,0.0,2.625400543212905,0.0,8.0
lcbench_albert,Bayesian Optimization,1,35.80264282226561,0.0,35.575682859565745,0.0,0.6966552734375,0.0,16.0
lcbench_albert,CrossDataset-HyperRL,1,36.46100234985352,0.0,36.30325877046084,0.0,1.355014801025412,0.0,8.0
lcbench_albert,CrossDataset-LC-DQN,1,35.10598754882811,0.0,34.870910503174684,0.0,0.0,0.0,14.0
lcbench_albert,Random Search,1,35.1697998046875,0.0,34.89442666875699,0.0,0.06381225585938921,0.0,8.0
lcbench_bank-marketing,Bayesian Optimization,1,16.274879455566406,0.0,16.73704671894899,0.0,4.521354675292969,0.0,8.0
lcbench_bank-marketing,CrossDataset-HyperRL,1,11.753524780273438,0.0,11.622762919766743,0.0,0.0,0.0,14.0
