task,method_a,method_b,mean_delta_a_minus_b,std_delta,wins_a,wins_b,ties,runs
lcbench_APSFailure,Bayesian Optimization,HyperRL-MLP,-0.2344696044921875,0.08588792657312798,5,0,0,5
lcbench_APSFailure,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.26065521240234374,0.35073841837296915,4,1,0,5
lcbench_APSFailure,Bayesian Optimization,Random Search,-0.19400329589843465,0.1634414586559403,4,1,0,5
lcbench_APSFailure,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.02618560791015625,0.3908787785288431,3,2,0,5
lcbench_APSFailure,HyperRL-MLP,Random Search,0.040466308593752845,0.09413005860573391,2,3,0,5
lcbench_APSFailure,OurMethod-LC-DQN-MLP,Random Search,0.06665191650390909,0.4510065234896377,2,3,0,5
lcbench_Amazon_employee_access,Bayesian Optimization,HyperRL-MLP,0.0,0.0,0,0,5,5
lcbench_Amazon_employee_access,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.0,0.0,0,0,5,5
lcbench_Amazon_employee_access,Bayesian Optimization,Random Search,0.0,0.0,0,0,5,5
lcbench_Amazon_employee_access,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.0,0.0,0,0,5,5
lcbench_Amazon_employee_access,HyperRL-MLP,Random Search,0.0,0.0,0,0,5,5
lcbench_Amazon_employee_access,OurMethod-LC-DQN-MLP,Random Search,0.0,0.0,0,0,5,5
lcbench_Australian,Bayesian Optimization,HyperRL-MLP,-0.39215698242187214,0.9912258507400535,2,1,2,5
lcbench_Australian,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.0,0.4621614359335925,1,1,3,5
lcbench_Australian,Bayesian Optimization,Random Search,2.842170943040401e-15,0.4621614359336076,1,1,3,5
lcbench_Australian,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.39215698242187214,0.8768896705464962,0,1,4,5
lcbench_Australian,HyperRL-MLP,Random Search,0.392156982421875,1.3553233778815268,2,2,1,5
lcbench_Australian,OurMethod-LC-DQN-MLP,Random Search,2.842170943040401e-15,0.6535949707031214,2,2,1,5
lcbench_Fashion-MNIST,Bayesian Optimization,HyperRL-MLP,-0.27652130126953123,2.808672734698371,3,2,0,5
lcbench_Fashion-MNIST,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.9872085571289062,3.5132887145473517,3,2,0,5
lcbench_Fashion-MNIST,Bayesian Optimization,Random Search,-0.436749267578125,3.2689243111120194,3,2,0,5
lcbench_Fashion-MNIST,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.710687255859375,1.3697493500564317,2,0,3,5
lcbench_Fashion-MNIST,HyperRL-MLP,Random Search,-0.16022796630859376,2.0175212884991116,1,1,3,5
