task,method_a,method_b,mean_delta_a_minus_b,std_delta,wins_a,wins_b,ties,runs
lcbench_APSFailure,Bayesian Optimization,HyperRL-MLP,-0.060699462890625,0.08314278792313796,2,0,3,5
lcbench_APSFailure,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.091644287109375,0.09021103978318491,3,0,2,5
lcbench_APSFailure,Bayesian Optimization,Random Search,-0.10592651367187216,0.06331518640778099,4,0,1,5
lcbench_APSFailure,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.03094482421875,0.11792750956131155,3,1,1,5
lcbench_APSFailure,HyperRL-MLP,Random Search,-0.045227050781247155,0.08401142006489597,2,1,2,5
lcbench_APSFailure,OurMethod-LC-DQN-MLP,Random Search,-0.014282226562497159,0.09424285679911529,2,2,1,5
lcbench_Amazon_employee_access,Bayesian Optimization,HyperRL-MLP,0.00276031494140625,0.006172251848292724,0,1,4,5
lcbench_Amazon_employee_access,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.00828094482421875,0.00755943379613377,0,3,2,5
lcbench_Amazon_employee_access,Bayesian Optimization,Random Search,0.0055206298828125,0.00755943379613377,0,2,3,5
lcbench_Amazon_employee_access,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.0055206298828125,0.012344503696585449,1,3,1,5
lcbench_Amazon_employee_access,HyperRL-MLP,Random Search,0.00276031494140625,0.011547225860596791,1,2,2,5
lcbench_Amazon_employee_access,OurMethod-LC-DQN-MLP,Random Search,-0.00276031494140625,0.011547225860596791,2,1,2,5
lcbench_Australian,Bayesian Optimization,HyperRL-MLP,-0.3921569824218835,0.3579887089260375,3,0,2,5
lcbench_Australian,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.2614379882812557,0.3579887089260375,2,0,3,5
lcbench_Australian,Bayesian Optimization,Random Search,-0.2614379882812557,0.3579887089260375,2,0,3,5
lcbench_Australian,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.13071899414062785,0.5468367855310268,1,2,2,5
lcbench_Australian,HyperRL-MLP,Random Search,0.13071899414062785,0.5468367855310268,1,2,2,5
lcbench_Australian,OurMethod-LC-DQN-MLP,Random Search,0.0,0.0,0,0,5,5
lcbench_Fashion-MNIST,Bayesian Optimization,HyperRL-MLP,-0.04393310546875,0.09823741029079276,1,0,4,5
lcbench_Fashion-MNIST,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.103375244140625,0.05778851827226858,4,0,1,5
lcbench_Fashion-MNIST,Bayesian Optimization,Random Search,-0.354052734375,0.34631479717368585,5,0,0,5
lcbench_Fashion-MNIST,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.059442138671875,0.10075517076031862,3,1,1,5
lcbench_Fashion-MNIST,HyperRL-MLP,Random Search,-0.31011962890625,0.3799271586402837,4,0,1,5
lcbench_Fashion-MNIST,OurMethod-LC-DQN-MLP,Random Search,-0.250677490234375,0.33851256642170663,4,0,1,5
lcbench_KDDCup09_appetency,Bayesian Optimization,HyperRL-MLP,0.0,0.0,0,0,5,5
lcbench_KDDCup09_appetency,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.0,0.0,0,0,5,5
lcbench_KDDCup09_appetency,Bayesian Optimization,Random Search,0.0,0.0,0,0,5,5
lcbench_KDDCup09_appetency,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.0,0.0,0,0,5,5
lcbench_KDDCup09_appetency,HyperRL-MLP,Random Search,0.0,0.0,0,0,5,5
lcbench_KDDCup09_appetency,OurMethod-LC-DQN-MLP,Random Search,0.0,0.0,0,0,5,5
lcbench_MiniBooNE,Bayesian Optimization,HyperRL-MLP,-0.5522171020507812,0.4798172973536052,4,0,1,5
lcbench_MiniBooNE,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.342877197265625,0.37117725446074096,4,0,1,5
lcbench_MiniBooNE,Bayesian Optimization,Random Search,-0.712176513671875,0.39908937739648537,4,0,1,5
lcbench_MiniBooNE,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.20933990478515624,0.4637268620734042,2,3,0,5
lcbench_MiniBooNE,HyperRL-MLP,Random Search,-0.15995941162109376,0.7209894066413567,3,2,0,5
lcbench_MiniBooNE,OurMethod-LC-DQN-MLP,Random Search,-0.36929931640625,0.6741488976960275,4,1,0,5
lcbench_adult,Bayesian Optimization,HyperRL-MLP,-0.08148040771484374,0.9992584973590677,2,2,1,5
lcbench_adult,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.38518524169921875,1.4453423722303707,2,2,1,5
lcbench_adult,Bayesian Optimization,Random Search,-0.222222900390625,1.5603007395290922,3,1,1,5
lcbench_adult,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.4666656494140625,0.8916943937360554,1,4,0,5
lcbench_adult,HyperRL-MLP,Random Search,-0.14074249267578126,0.9259810982326344,3,2,0,5
lcbench_adult,OurMethod-LC-DQN-MLP,Random Search,-0.6074081420898437,0.7497901919589776,3,0,2,5
lcbench_airlines,Bayesian Optimization,HyperRL-MLP,-0.06641082763672017,0.06847563065910983,3,0,2,5
lcbench_airlines,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.33289260864258524,0.32552506794211955,4,0,1,5
lcbench_airlines,Bayesian Optimization,Random Search,-0.1556289672851591,0.2953927084995759,2,0,3,5
lcbench_airlines,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.26648178100586506,0.34991584271812154,3,0,2,5
lcbench_airlines,HyperRL-MLP,Random Search,-0.08921813964843892,0.24162624461944035,2,1,2,5
lcbench_airlines,OurMethod-LC-DQN-MLP,Random Search,0.17726364135742614,0.4898950592896387,1,3,1,5
lcbench_albert,Bayesian Optimization,HyperRL-MLP,-0.05871276855467045,0.05359717958495499,3,0,2,5
lcbench_albert,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.21250762939452272,0.1863734993590924,4,0,1,5
lcbench_albert,Bayesian Optimization,Random Search,-0.2329284667968608,0.14603213262933218,5,0,0,5
lcbench_albert,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.15379486083985228,0.16749109440926752,3,0,2,5
lcbench_albert,HyperRL-MLP,Random Search,-0.17421569824219035,0.19003917939061257,4,0,1,5
lcbench_albert,OurMethod-LC-DQN-MLP,Random Search,-0.020420837402338066,0.2666935661858732,3,2,0,5
lcbench_bank-marketing,Bayesian Optimization,HyperRL-MLP,-0.1280364990234375,0.12501634212952453,4,0,1,5
lcbench_bank-marketing,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.072021484375,0.12136186071781624,2,0,3,5
lcbench_bank-marketing,Bayesian Optimization,Random Search,-0.1080322265625,0.14381386056168852,3,0,2,5
lcbench_bank-marketing,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.0560150146484375,0.2044608885047165,1,4,0,5
lcbench_bank-marketing,HyperRL-MLP,Random Search,0.0200042724609375,0.2223254935031283,2,3,0,5
lcbench_bank-marketing,OurMethod-LC-DQN-MLP,Random Search,-0.0360107421875,0.19862986476763658,2,2,1,5
lcbench_blood-transfusion-service-center,Bayesian Optimization,HyperRL-MLP,-0.12048187255859374,0.2694056570974821,1,0,4,5
lcbench_blood-transfusion-service-center,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.12048187255859374,0.2694056570974821,1,0,4,5
lcbench_blood-transfusion-service-center,Bayesian Optimization,Random Search,0.12048187255859374,0.2694056570974821,0,1,4,5
lcbench_blood-transfusion-service-center,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.0,0.0,0,0,5,5
lcbench_blood-transfusion-service-center,HyperRL-MLP,Random Search,0.2409637451171875,0.3299531968540223,0,2,3,5
lcbench_blood-transfusion-service-center,OurMethod-LC-DQN-MLP,Random Search,0.2409637451171875,0.3299531968540223,0,2,3,5
lcbench_car,Bayesian Optimization,HyperRL-MLP,-1.5665802001953182,2.145128284469837,2,0,3,5
lcbench_car,Bayesian Optimization,OurMethod-LC-DQN-MLP,-2.0887741088867218,3.0054496570021123,2,0,3,5
lcbench_car,Bayesian Optimization,Random Search,-2.0887741088867218,3.0054496570021123,2,0,3,5
lcbench_car,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.5221939086914034,3.761062501524736,1,1,3,5
lcbench_car,HyperRL-MLP,Random Search,-0.5221939086914034,1.1676610772702962,1,0,4,5
lcbench_car,OurMethod-LC-DQN-MLP,Random Search,0.0,4.6155829767267225,1,1,3,5
lcbench_christine,Bayesian Optimization,HyperRL-MLP,-0.233721923828125,0.2531827437537844,3,0,2,5
lcbench_christine,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.2671112060546875,0.17106581507438054,4,0,1,5
lcbench_christine,Bayesian Optimization,Random Search,-0.3505828857421875,0.22397827587656904,4,0,1,5
lcbench_christine,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.0333892822265625,0.2986353554361651,2,2,1,5
lcbench_christine,HyperRL-MLP,Random Search,-0.1168609619140625,0.21766812440000102,2,0,3,5
lcbench_christine,OurMethod-LC-DQN-MLP,Random Search,-0.0834716796875,0.368599920437527,3,2,0,5
lcbench_cnae-9,Bayesian Optimization,HyperRL-MLP,-0.08368225097655965,0.18711920169378554,1,0,4,5
lcbench_cnae-9,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.08368225097655965,0.18711920169378554,1,0,4,5
lcbench_cnae-9,Bayesian Optimization,Random Search,-0.1673645019531193,0.2291732826133522,2,0,3,5
lcbench_cnae-9,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.0,0.0,0,0,5,5
lcbench_cnae-9,HyperRL-MLP,Random Search,-0.08368225097655965,0.18711920169378554,1,0,4,5
lcbench_cnae-9,OurMethod-LC-DQN-MLP,Random Search,-0.08368225097655965,0.18711920169378554,1,0,4,5
